,year,symbol,change in 12 months,PE,PEG,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio,changeLabel
0,2013,AAL,7.170114494418637,-1.7093333333333334,-0.01694206489675516,67.0,59.0,5.0,7.0,75.0,3
1,2014,AAL,-51.006112577127865,9.822139552238806,-0.07236350357739789,143.0,63.0,10.0,7.0,60.0,0
2,2015,AAL,28.144811350909073,4.250219490781387,0.0231830154042621,135.0,73.0,15.0,19.0,51.0,3
3,2013,AAP,-1.9660702370691654,17.097947854477614,12.92116345002653,26.0,50.0,10.0,6.0,40.0,2
4,2016,AAP,-21.102306409154444,24.850388139534886,-5.591337331395356,19.0,45.0,8.0,5.0,2.0,0
5,2014,AAPL,-14.230125896612291,14.807616200739599,-0.17672894350495114,35.0,39.0,29.0,22.0,40.0,1
6,2015,AAPL,25.589028020439024,11.767241433189657,0.27372543692258383,45.0,40.0,30.0,23.0,52.0,3
7,2016,AAPL,-23.732385033744897,13.129341497005987,-1.3101106354001668,36.0,39.0,28.0,21.0,85.0,0
8,2014,ABC,-7.449263246010628,50.0,-1.8874714473422756,14.0,2.0,1.0,0.0,10.0,2
9,2015,ABC,-0.6252686296572405,-50.0,1.0431171214936885,22.0,3.0,0.0,0.0,10.0,2
10,2016,ABC,-0.3355972400349341,13.496284992570578,-0.011384621354277221,67.0,3.0,1.0,1.0,11.0,2
11,2013,ABT,-8.645550419892354,21.54878048780488,-0.38218591808559604,10.0,53.0,11.0,13.0,85.0,1
12,2014,ABT,-8.739274936740253,27.930000333333336,-3.2718000390476205,11.0,54.0,13.0,11.0,43.0,1
13,2015,ABT,3.1166657242082647,15.367347108843537,0.16007653238378686,21.0,57.0,14.0,22.0,67.0,2
14,2014,ADBE,-11.536554092357182,50.0,-17.78398188425928,4.0,85.0,10.0,6.0,150.0,1
15,2015,ADBE,-30.74769520376505,50.0,0.49931546726190473,9.0,84.0,19.0,13.0,180.0,0
16,2015,ADI,4.03245698427777,50.0,-15.824798528225815,14.0,66.0,24.0,20.0,272.0,3
17,2014,ADM,-4.498705493493968,13.970930668604652,0.20114176778203854,11.0,6.0,3.0,3.0,42.0,2
18,2015,ADM,10.051030058393476,14.856187290969899,-1.1356729840208108,10.0,6.0,3.0,3.0,49.0,3
19,2013,ADS,-44.745978578537375,20.211099355797817,1.0338283549268694,58.0,33.0,25.0,11.0,33.0,0
20,2014,ADS,-3.173812335080382,31.528096674311925,-2.3220328134584483,21.0,31.0,21.0,10.0,25.0,2
21,2015,ADS,10.119283164752552,31.652076767676764,14.526637337586383,30.0,30.0,20.0,9.0,25.0,3
22,2014,ADSK,-0.49410869298193494,50.0,-8.408571733893549,10.0,88.0,13.0,10.0,212.0,2
23,2015,ADSK,-23.04913663519796,50.0,-2.6227651944444443,4.0,86.0,5.0,3.0,145.0,0
24,2016,ADSK,-28.18465326180745,-46.37328767123287,0.09172738220683425,20.0,85.0,0.0,13.0,141.0,0
25,2013,AEE,-18.24864464105773,28.315125630252105,-0.21835318034098258,5.0,40.0,20.0,5.0,1.0,0
26,2014,AEE,-21.356266295251128,17.21487582644628,0.16655042466236647,9.0,41.0,21.0,10.0,0.0,0
27,2015,AEE,-1.6536008521733356,17.35384653846154,2.333128256837608,9.0,43.0,21.0,10.0,14.0,2
28,2013,AEP,-10.276019480235895,14.79276282894737,0.8741178035287078,9.0,55.0,19.0,10.0,9.0,1
29,2014,AEP,-21.026312432712757,16.2874251497006,1.6504590818363287,10.0,53.0,19.0,10.0,8.0,0
30,2013,AFL,-20.49399419786281,8.916176617647059,0.8294746126114079,22.0,36.0,20.0,13.0,74.4574898785425,0
31,2014,AFL,1.2754844357796218,9.838684862385321,-2.5731945024700087,16.0,37.0,20.0,13.0,74.4574898785425,2
