Period Ending,Ticker Symbol,After Tax ROE,Gross Margin,Operating Margin,Profit Margin,Cash Ratio
2012-12-31,AAL,23.0,58.0,1.0,8.0,53.0
2013-12-31,AAL,67.0,59.0,5.0,7.0,75.0
2014-12-31,AAL,143.0,63.0,10.0,7.0,60.0
2015-12-31,AAL,135.0,73.0,15.0,19.0,51.0
2012-12-29,AAP,32.0,50.0,11.0,6.0,23.0
2013-12-28,AAP,26.0,50.0,10.0,6.0,40.0
2015-01-03,AAP,25.0,45.0,9.0,5.0,3.0
2016-01-02,AAP,19.0,45.0,8.0,5.0,2.0
2013-09-28,AAPL,30.0,38.0,29.0,22.0,93.0
2014-09-27,AAPL,35.0,39.0,29.0,22.0,40.0
2015-09-26,AAPL,45.0,40.0,30.0,23.0,52.0
2016-09-24,AAPL,36.0,39.0,28.0,21.0,85.0
2013-12-31,ABBV,92.0,76.0,30.0,22.0,144.0
2014-12-31,ABBV,102.0,78.0,17.0,9.0,74.0
2015-12-31,ABBV,130.0,80.0,33.0,23.0,77.0
2013-09-30,ABC,19.0,3.0,1.0,0.0,8.0
2014-09-30,ABC,14.0,2.0,1.0,0.0,10.0
2015-09-30,ABC,22.0,3.0,0.0,0.0,10.0
2016-09-30,ABC,67.0,3.0,1.0,1.0,11.0
2012-12-31,ABT,22.0,53.0,7.0,31.0,114.0
2013-12-31,ABT,10.0,53.0,11.0,13.0,85.0
2014-12-31,ABT,11.0,54.0,13.0,11.0,43.0
2015-12-31,ABT,21.0,57.0,14.0,22.0,67.0
2013-11-29,ADBE,4.0,86.0,10.0,7.0,208.0
2014-11-28,ADBE,4.0,85.0,10.0,6.0,150.0
2015-11-27,ADBE,9.0,84.0,19.0,13.0,180.0
2016-12-02,ADBE,16.0,86.0,26.0,20.0,169.0
2015-10-31,ADI,14.0,66.0,24.0,20.0,272.0
2012-12-31,ADM,7.0,4.0,2.0,2.0,35.0
2013-12-31,ADM,7.0,4.0,2.0,1.0,48.0
2014-12-31,ADM,11.0,6.0,3.0,3.0,42.0
2015-12-31,ADM,10.0,6.0,3.0,3.0,49.0
2012-12-31,ADS,80.0,34.0,27.0,12.0,28.0
2013-12-31,ADS,58.0,33.0,25.0,11.0,33.0
2014-12-31,ADS,21.0,31.0,21.0,10.0,25.0
2015-12-31,ADS,30.0,30.0,20.0,9.0,25.0
2013-01-31,ADSK,12.0,90.0,13.0,11.0,187.0
2014-01-31,ADSK,10.0,88.0,13.0,10.0,212.0
2015-01-31,ADSK,4.0,86.0,5.0,3.0,145.0
2016-01-31,ADSK,20.0,85.0,0.0,13.0,141.0
2012-12-31,AEE,15.0,40.0,21.0,17.0,7.0
2013-12-31,AEE,5.0,40.0,20.0,5.0,1.0
2014-12-31,AEE,9.0,41.0,21.0,10.0,0.0
2015-12-31,AEE,9.0,43.0,21.0,10.0,14.0
2012-12-31,AEP,8.0,57.0,18.0,8.0,10.0
2013-12-31,AEP,9.0,55.0,19.0,10.0,9.0
2014-12-31,AEP,10.0,53.0,19.0,10.0,8.0
2015-12-31,AEP,11.0,55.0,20.0,12.0,9.0
2012-12-31,AFL,18.0,33.0,17.0,11.0,74.4574898785425
2013-12-31,AFL,22.0,36.0,20.0,13.0,74.4574898785425
2014-12-31,AFL,16.0,37.0,20.0,13.0,74.4574898785425
2015-12-31,AFL,14.0,37.0,19.0,12.0,74.4574898785425
2012-12-31,AIG,4.0,47.0,4.0,5.0,74.4574898785425
2013-12-31,AIG,9.0,50.0,14.0,13.0,74.4574898785425
2014-12-31,AIG,7.0,48.0,16.0,12.0,74.4574898785425
2015-12-31,AIG,2.0,37.0,6.0,4.0,74.4574898785425
2012-12-31,AIV,14.0,60.0,19.0,14.0,74.4574898785425
2013-12-31,AIV,21.0,61.0,26.0,21.0,74.4574898785425
2014-12-31,AIV,25.0,61.0,27.0,31.0,74.4574898785425
2015-12-31,AIV,15.0,63.0,26.0,25.0,74.4574898785425
2013-12-31,AIZ,10.0,26.0,9.0,5.0,74.4574898785425
2014-12-31,AIZ,9.0,22.0,7.0,5.0,74.4574898785425
2015-12-31,AIZ,3.0,16.0,2.0,1.0,74.4574898785425
2016-12-31,AIZ,14.0,30.0,11.0,8.0,74.4574898785425
2013-12-31,AJG,13.0,100.0,9.0,8.0,74.4574898785425
2014-12-31,AJG,9.0,100.0,6.0,7.0,74.4574898785425
2015-12-31,AJG,10.0,100.0,5.0,7.0,74.4574898785425
2016-12-31,AJG,12.0,100.0,6.0,7.0,74.4574898785425
2012-12-31,AKAM,9.0,61.0,23.0,15.0,216.0
2013-12-31,AKAM,11.0,68.0,26.0,19.0,256.0
2014-12-31,AKAM,11.0,69.0,25.0,17.0,227.0
2015-12-31,AKAM,10.0,67.0,21.0,15.0,225.0
2012-12-31,ALB,17.0,36.0,16.0,12.0,124.0
2013-12-31,ALB,25.0,36.0,24.0,17.0,109.0
2014-12-31,ALB,10.0,32.0,11.0,5.0,218.0
2015-12-31,ALB,10.0,33.0,12.0,9.0,13.0
2012-12-31,ALK,22.0,50.0,11.0,7.0,87.0
2013-12-31,ALK,25.0,54.0,16.0,10.0,84.0
2014-12-31,ALK,28.0,57.0,18.0,11.0,73.0
2015-12-31,ALK,35.0,65.0,23.0,15.0,74.0
2012-12-31,ALL,11.0,35.0,10.0,7.0,74.4574898785425
2013-12-31,ALL,11.0,43.0,12.0,7.0,74.4574898785425
2014-12-31,ALL,13.0,40.0,12.0,8.0,74.4574898785425
2015-12-31,ALL,11.0,36.0,9.0,6.0,74.4574898785425
2013-12-31,ALLE,49.0,42.0,12.0,2.0,55.0
2015-12-31,ALLE,601.0,42.0,17.0,7.0,45.0
2016-12-31,ALLE,202.0,44.0,19.0,10.0,73.0
2013-12-31,ALXN,11.0,89.0,34.0,16.0,260.0
2015-12-31,ALXN,2.0,91.0,21.0,6.0,195.0
2016-12-31,ALXN,5.0,92.0,22.0,13.0,157.0
2013-10-27,AMAT,4.0,40.0,6.0,3.0,77.0
2014-10-26,AMAT,14.0,42.0,17.0,12.0,112.0
2015-10-25,AMAT,18.0,41.0,18.0,14.0,131.0
2016-10-30,AMAT,24.0,42.0,20.0,16.0,103.0
2012-12-31,AME,18.0,35.0,22.0,14.0,18.0
2013-12-31,AME,16.0,35.0,23.0,14.0,34.0
2014-12-31,AME,18.0,35.0,22.0,15.0,40.0
2015-12-31,AME,18.0,36.0,23.0,15.0,37.0
2012-12-31,AMG,8.0,100.0,20.0,10.0,74.4574898785425
2013-12-31,AMG,17.0,100.0,25.0,17.0,74.4574898785425
2014-12-31,AMG,17.0,100.0,29.0,19.0,74.4574898785425
2015-12-31,AMG,18.0,100.0,32.0,21.0,74.4574898785425
